Y;C;I;J;W;P;R
0.041419973;-0.131064;-0.618035;-0.72330087;-0.260188;0.028438469;0.075761531
0.038994126;-0.133509;-0.622966;-0.72507049;-0.262772;0.024635495;0.076331205
0.032002089;-0.131396;-0.619047;-0.726840111;-0.262652;0.019627085;0.077372915
0.035739822;-0.133353;-0.629829;-0.726853327;-0.265954;0.025024062;0.076009238
0.02654106;-0.130384;-0.62611;-0.726866544;-0.262796;0.029107981;0.085825319
0.036904454;-0.129927;-0.619054;-0.72687976;-0.263055;0.032390511;0.088542789
0.03228832;-0.129793;-0.61017;-0.726892977;-0.260928;0.026513478;0.110386522
0.040876491;-0.128206;-0.606091;-0.727190774;-0.263163;0.042186827;0.093746473
0.02515624;-0.128774;-0.604126;-0.727488572;-0.258158;0.027261462;0.108538538
0.028153194;-0.124225;-0.605255;-0.727786369;-0.25643;0.033775633;0.108957667
0.019858331;-0.116515;-0.60793;-0.728084167;-0.252499;0.026837806;0.121862194
0.031488104;-0.116026;-0.610771;-0.729176439;-0.253743;0.031439394;0.133693906
0.033525121;-0.11156;-0.614925;-0.730268712;-0.253975;0.032684539;0.138048761
0.038109978;-0.109381;-0.617382;-0.731360984;-0.255142;0.041607397;0.125492603
0.043236619;-0.108649;-0.617406;-0.732453256;-0.255922;0.02765449;0.13587881
0.040703939;-0.109167;-0.62223;-0.737446105;-0.254543;0.03255814;0.12877516
0.033611814;-0.107712;-0.621834;-0.742438954;-0.256287;0.027027027;0.131339673
0.018773954;-0.106726;-0.628019;-0.747431803;-0.254909;0.010338346;0.146328354
0.021507285;-0.102606;-0.635539;-0.752424652;-0.25477;0.023565891;0.124900809
0.031314333;-0.104941;-0.642383;-0.75356606;-0.256203;0.026052711;0.119347289
0.027745193;-0.106489;-0.651399;-0.754707467;-0.259393;0.025391202;0.114708798
0.028194327;-0.109867;-0.656692;-0.755848875;-0.260801;0.022458969;0.118307731
0.021876859;-0.1087;-0.661942;-0.756990282;-0.261127;0.015488595;0.123211405
0.023317088;-0.108562;-0.663349;-0.757380541;-0.263492;0.020209059;0.118524241
0.018058545;-0.107291;-0.668094;-0.757770801;-0.263136;0.016393443;0.118739857
0.019149672;-0.106715;-0.671396;-0.75816106;-0.268868;0.016801075;0.106798925
0.009106634;-0.105503;-0.668544;-0.75855132;-0.264903;0.011896894;0.110236406
0.018816346;-0.102722;-0.6736;-0.760444343;-0.266718;0.017635532;0.101764468
0.023153392;-0.103969;-0.672598;-0.762337367;-0.270011;0.016046213;0.103287087
0.017475885;-0.104773;-0.670113;-0.76423039;-0.271489;0.006317119;0.107482881
0.01852781;-0.103611;-0.671029;-0.766123414;-0.272873;0.006277464;0.094322536
0.02026498;-0.106714;-0.674286;-0.766246452;-0.276583;0.00062383;0.08534283
0.019445701;-0.107039;-0.671695;-0.76636949;-0.277049;0.009351621;0.074348379
0.018406713;-0.110265;-0.673127;-0.766492527;-0.283151;0.006176652;0.088323348
0.010016106;-0.109271;-0.670136;-0.766615565;-0.28477;0.004910988;0.083927342
0.00218111;-0.104398;-0.666526;-0.765577748;-0.278892;0.012217471;0.077597859
0.018300793;-0.104528;-0.661857;-0.76453993;-0.283178;0.009052505;0.089107165
0.015055735;-0.106712;-0.656375;-0.763502113;-0.284;0.005382775;0.096757925
0.02039575;-0.106001;-0.654507;-0.762464295;-0.286707;0.004164188;0.089843472
0.021404989;-0.111307;-0.650027;-0.761692391;-0.288929;0.006516588;0.084854752
0.015914845;-0.112383;-0.645478;-0.760920486;-0.290625;0.010005886;0.080755784
0.024141268;-0.114192;-0.643822;-0.760148582;-0.294299;0.008741259;0.078552741
0.019662921;-0.116539;-0.641335;-0.759376677;-0.296265;0.005199307;0.083458023
0.020472847;-0.11729;-0.635904;-0.760191627;-0.29841;0.009770115;0.078056885
0.014841323;-0.117592;-0.634477;-0.761006576;-0.297179;0.011383039;0.073432291
0.01860009;-0.118225;-0.63654;-0.761821526;-0.299812;0.006752954;0.083185386
0.020679391;-0.120899;-0.633978;-0.762636475;-0.299094;0.007266629;0.091032701
0.011374132;-0.11913;-0.631661;-0.762543232;-0.296829;0.008324084;0.087811246
0.013348567;-0.120047;-0.633155;-0.76244999;-0.295723;0.007705008;0.092754992
0.005917182;-0.11835;-0.630037;-0.762356748;-0.292409;0.014199891;0.087542109
0.006820201;-0.115297;-0.629955;-0.762263505;-0.290429;0.003231018;0.089903652
0.007743338;-0.115208;-0.632814;-0.762990042;-0.290916;0.006977992;0.082784678
0.014007507;-0.116975;-0.633473;-0.763716578;-0.290818;0.007995736;0.082600594
0.009823212;-0.117624;-0.634272;-0.764443114;-0.292212;0.007932311;0.080097359
0.010002862;-0.115771;-0.641737;-0.765169651;-0.290736;0.007869885;0.077180445
0.015030082;-0.11815;-0.647559;-0.764946137;-0.292272;0.007808433;0.078871237
0.001821859;-0.114604;-0.656082;-0.764722623;-0.291384;0.006198347;0.082786653
0.003476316;-0.110098;-0.662189;-0.764499109;-0.288876;0.003593429;0.079051901
0.001132208;-0.10531;-0.670899;-0.764275595;-0.286517;0.002046036;0.074993964
0.00446681;-0.106915;-0.677156;-0.764723084;-0.286628;0.010900668;0.060308002
0.001996877;-0.102616;-0.687648;-0.765170573;-0.286689;0.001078312;0.063011018
0.002158972;-0.102045;-0.69397;-0.765618062;-0.287151;0.004039316;0.055336014
0.005623801;-0.101233;-0.698112;-0.76606555;-0.28763;0.002413839;0.057640501
0.008488452;-0.104091;-0.695566;-0.766123425;-0.289533;0.004280936;0.066267734
0.013802359;-0.106009;-0.69582;-0.766181301;-0.293242;0.004662315;0.072481345
0.010459462;-0.107059;-0.695041;-0.766239176;-0.29358;0.002916998;0.078257002
0.012821905;-0.109692;-0.697133;-0.766297051;-0.293199;0.000661026;0.080220974
0.006584459;-0.110464;-0.69918;-0.767600139;-0.293018;0.008984014;0.066940986
