grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.944131751;0.23927142;0.644682387;0.644682387;0.618149299;0.545413464;2.942843329;0.004797277;0.004536
0.947327306;0.244582586;0.647377976;0.647377976;0.649858085;0.573339095;2.946138317;0.005948339;0.004981
0.951960353;0.279123293;0.649937807;0.649937807;0.667461386;0.59880982;2.947738667;0.008077447;0.006587
0.951503972;0.282890415;0.652194115;0.652194115;0.692151461;0.628241167;2.947435508;0.008605853;0.01124
0.954191068;0.284681328;0.652972768;0.652972768;0.688745002;0.622537333;2.948124082;0.009438447;0.010055
0.95439208;0.279306736;0.654626669;0.654626669;0.66421451;0.594335904;2.948180443;0.00954845;0.00627
0.952415901;0.251508008;0.656829371;0.656829371;0.660132255;0.582849835;2.947682024;0.009191013;0.003567
0.95230151;0.241574141;0.660832689;0.660832689;0.651926952;0.570069637;2.946675217;0.00802057;0.00332
0.953591164;0.237670461;0.660739933;0.660739933;0.643999899;0.557094116;2.946515834;0.008683378;0.000993
0.952029772;0.241889993;0.662137071;0.662137071;0.648946759;0.565615455;2.946798935;0.008652683;0.000734
0.951628625;0.239923713;0.662253719;0.662253719;0.655617022;0.569458929;2.942955328;0.006664496;0.00067
0.955862055;0.258104223;0.664785948;0.664785948;0.648975253;0.565617465;2.945752823;0.006503815;0.000862
0.956846355;0.258419048;0.665634181;0.665634181;0.6523818;0.567184305;2.948230574;0.007014885;0.000803
0.958355247;0.254790464;0.668245659;0.668245659;0.670775767;0.579348227;2.948219119;0.005765056;0.001686
0.964865627;0.27912242;0.673659992;0.673659992;0.672697099;0.591233945;2.950449166;0.005204474;0.001919
0.966035744;0.278879037;0.675810902;0.675810902;0.672619642;0.585373961;2.949496532;0.004644905;0.000758
0.966594728;0.263879425;0.677140593;0.677140593;0.666828829;0.57080558;2.948681997;0.003668394;0.000066
0.972122446;0.26705097;0.681300577;0.681300577;0.648949318;0.546384785;2.949191697;0.002176237;-0.000301
0.973669781;0.268983316;0.685629584;0.685629584;0.60944603;0.51320731;2.948998636;-0.000222031;-0.000504
0.972977495;0.253462398;0.686219134;0.686219134;0.608374573;0.505770307;2.950289179;0.004187413;-0.001185
0.974313916;0.261427103;0.687969615;0.687969615;0.606784466;0.509515353;2.948170682;0.003153992;-0.001357
0.977968131;0.268419862;0.693183284;0.693183284;0.596388044;0.494570776;2.94689467;0.001773642;-0.00199
0.985179897;0.28679479;0.698439001;0.698439001;0.602061399;0.505686041;2.947919007;0.001312289;-0.002877
0.983052456;0.272875807;0.696942089;0.696942089;0.608527247;0.501132167;2.948399045;0.000576752;-0.003325
0.982442424;0.275824912;0.698819647;0.698819647;0.601135616;0.502468541;2.949760978;0.002154599;-0.00343
0.985574463;0.286308375;0.704043667;0.704043667;0.592762839;0.498284385;2.94923534;0.004467645;-0.003504
0.991226713;0.299622905;0.707958645;0.707958645;0.599657007;0.510204115;2.949762136;0.007075944;-0.003535
0.992965087;0.302397734;0.708989713;0.708989713;0.617128927;0.524676085;2.951809504;0.006152191;-0.003587
0.995106287;0.306586584;0.709673912;0.709673912;0.647465554;0.550973683;2.953496249;0.006682679;-0.003581
1.001173943;0.32050888;0.715950372;0.715950372;0.65564776;0.561531704;2.954504501;0.006121938;-0.003423
1.000356125;0.318914596;0.720959257;0.720959257;0.674347431;0.583982439;2.95080134;0.005692014;-0.003639
0.999635303;0.32136585;0.720825396;0.720825396;0.662176957;0.574851701;2.955646936;0.00746495;-0.003618
0.995270014;0.335962665;0.722077692;0.722077692;0.646234118;0.571191496;2.954877891;0.008107439;-0.003627
1.00193601;0.347420549;0.725670575;0.725670575;0.640447866;0.560023338;2.956940954;0.008539184;-0.003605
1.007353583;0.340635158;0.734077147;0.734077147;0.644056194;0.565779286;2.955598839;0.005897397;-0.003679
1.002357212;0.331486767;0.733160869;0.733160869;0.624905921;0.547502473;2.953083892;0.007338803;-0.003616
1.003459874;0.323228919;0.735061748;0.735061748;0.621119465;0.538045437;2.956797725;0.006324121;-0.004032
1.00752559;0.339106494;0.736014016;0.736014016;0.624250736;0.53960375;2.953627231;0.005372784;-0.00540201
1.001975097;0.351567966;0.738592731;0.738592731;0.609009212;0.534188249;2.945145346;0.006977278;-0.005356286
0.963269099;0.313533048;0.717266246;0.717266246;0.496624029;0.451633715;2.917061435;0.001785138;-0.00544465
0.996869564;0.303099597;0.73431848;0.73431848;0.609517877;0.532133235;2.924204137;-0.003998564;-0.005529327
1.004599817;0.338433802;0.739358009;0.739358009;0.642673547;0.563003052;2.933418212;-0.002196184;-0.005563491
0.998082574;0.3511739;0.728964733;0.728964733;0.650500845;0.572838811;2.935338385;0.006461766;-0.005637665
1.003708372;0.350674041;0.730907341;0.730907341;0.653029667;0.59288568;2.944459335;0.009410557;-0.005641259
1.009406816;0.349602654;0.738355293;0.738355293;0.641286095;0.580517377;2.935922749;0.01652484;-0.005693605
1.01284645;0.375768031;0.74022197;0.74022197;0.648206972;0.606858994;2.942529032;0.019985749;-0.005763722
1.013356047;0.360872745;0.738936636;0.738936636;0.65029797;0.621010925;2.94629967;0.020326464;-0.00577703
1.0052136;0.373289043;0.725504505;0.725504505;0.635589733;0.622800301;2.942376341;0.02799346;-0.005826241
1.003559945;0.37162501;0.723081942;0.723081942;0.616838985;0.603231977;2.941715035;0.031014953;0.002545841
1.002311192;0.367954636;0.725402802;0.725402802;0.615664567;0.580036859;2.940396513;0.035752006;0.015039648
1.001950777;0.35214785;0.725854805;0.725854805;0.62008848;0.566238087;2.941805975;0.034374815;0.025083639
1.001006924;0.3396569;0.724293378;0.724293378;0.614459419;0.557450646;2.943747506;0.027540794;0.032045905
1.002205269;0.332114288;0.726542645;0.726542645;0.604444568;0.538918957;2.942542952;0.023679693;0.037125219
1.006355762;0.332319122;0.73525407;0.73525407;0.599548369;0.524411034;2.939967575;0.01516957;0.039034421
1.005629458;0.31972917;0.739731747;0.739731747;0.609678293;0.531964464;2.938950071;0.010797419;0.03907311
1.003317968;0.320267314;0.736825931;0.736825931;0.594531144;0.518347082;2.939844399;0.009817756;0.03786032
1.003418606;0.334163469;0.739136861;0.739136861;0.597372533;0.531695053;2.940894587;0.008300428;0.035920924
