frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.839338303;0.110977214;0.728848651;0.545473707;0.209401571;0.181806797;2.88075224;0.003990483;0.031896;0.890863176;0.25958422;0.613712179;0.613712179;0.302108981;0.241278654;2.928635454;0.006689711;0.0307
0.843528846;0.126410449;0.732147264;0.547389026;0.198959053;0.174113457;2.881129413;0.005529146;0.031875;0.8904909;0.258484366;0.609815747;0.609815747;0.300907818;0.236485702;2.929022922;0.009972154;0.031
0.847761076;0.131994936;0.735789181;0.548613621;0.224412027;0.198371186;2.881635059;0.005005901;0.03375;0.895375148;0.270836191;0.613951634;0.613951634;0.319710985;0.253408628;2.928117429;0.009102837;0.0344
0.852579198;0.152748718;0.737637106;0.552363465;0.216642378;0.194183961;2.88242299;0.003240741;0.03375;0.897590443;0.280801303;0.61372779;0.61372779;0.314994066;0.25711954;2.927918662;0.005388554;0.0345
0.853991847;0.160590933;0.738567439;0.55394332;0.223199372;0.199994722;2.883599814;0.004268194;0.033771;0.896682694;0.278038336;0.617056336;0.617056336;0.325993447;0.26121947;2.929930864;0.005899416;0.0347
0.856722911;0.156401247;0.743028939;0.560294427;0.225814343;0.212342396;2.885613522;0.002636597;0.03375;0.898473638;0.278203949;0.619309806;0.619309806;0.324375011;0.263637689;2.932510957;0.002586634;0.0348
0.859651041;0.169183981;0.744470328;0.563822801;0.252960134;0.240398737;2.886334089;0.001131386;0.030927;0.901363111;0.278367534;0.62461091;0.62461091;0.342827581;0.279334693;2.932642635;0.001901392;0.0314
0.862132295;0.183268363;0.744916686;0.567937872;0.234631085;0.219328446;2.887814783;0.001111913;0.029252;0.906776169;0.285867168;0.624311174;0.624311174;0.321566832;0.267278795;2.932600042;0.000862894;0.029252
0.862191951;0.183685497;0.745711255;0.569237684;0.213033399;0.20185589;2.891103903;0.00165881;0.025632;0.904861076;0.27015921;0.628017575;0.628017575;0.311583935;0.257618653;2.932694765;0.002234649;0.025632
0.868162363;0.170442886;0.753949794;0.574803303;0.232805313;0.210927148;2.892995369;0.002252531;0.024336;0.907633267;0.286773049;0.628760276;0.628760276;0.316990859;0.262936478;2.933418078;0.002913014;0.024336
0.871976491;0.187925486;0.756201678;0.578716649;0.242140486;0.239262011;2.894262934;0.004276256;0.030418;0.909460071;0.283966347;0.632364253;0.632364253;0.33193224;0.26610019;2.934412371;0.00411982;0.030418
0.876401695;0.207833915;0.760386954;0.581359856;0.23045009;0.238135688;2.894081285;0.006302355;0.035104;0.912387795;0.285721156;0.636342094;0.636342094;0.326578783;0.280272607;2.936819173;0.006672373;0.035104
0.878683032;0.20868805;0.762402948;0.583762661;0.228715004;0.234010622;2.894881733;0.006137507;0.042945;0.914690731;0.29115943;0.639135937;0.639135937;0.322167078;0.273173218;2.93722635;0.004774389;0.042945
0.882534;0.232402448;0.764871906;0.587437565;0.22086276;0.240514838;2.896918606;0.008190864;0.045905;0.912659255;0.298987897;0.639975612;0.639975612;0.314776566;0.275755725;2.936962669;0.005936553;0.045905
0.884296559;0.236206625;0.765798817;0.591257247;0.227192759;0.251646977;2.898295051;0.008230303;0.048268;0.910614056;0.292291811;0.640847908;0.640847908;0.329588822;0.288133277;2.936623522;0.007452974;0.048268
0.888026126;0.227037681;0.769512044;0.593129889;0.24357168;0.256260563;2.895836018;0.005636384;0.047814;0.919453756;0.289920417;0.638853235;0.638853235;0.347627727;0.288349378;2.935503672;0.007406752;0.047814
0.884214551;0.217866213;0.768458559;0.592114954;0.210251187;0.220723551;2.893133264;0.00881564;0.045395;0.915124019;0.287254012;0.635411974;0.635411974;0.323918223;0.26225465;2.934519502;0.010885143;0.045395
0.886960936;0.220677444;0.770410333;0.59478266;0.207112168;0.209127592;2.890743648;0.007648782;0.039865;0.916182234;0.274506781;0.634780878;0.634780878;0.329201122;0.254442682;2.93319025;0.008672835;0.039865
0.886870333;0.212540801;0.77227308;0.598133328;0.189923299;0.187746985;2.889181114;0.00605865;0.033389;0.919111749;0.247136834;0.638732609;0.638732609;0.328789255;0.246982962;2.932053034;0.007162066;0.033389
0.888093609;0.216036784;0.77255406;0.598834204;0.181675876;0.186868732;2.885608601;0.009246153;0.03264;0.913691218;0.222195447;0.632802436;0.632802436;0.315089057;0.216135309;2.931063101;0.008593626;0.03264
0.887664504;0.200777721;0.773128329;0.600122934;0.203289955;0.198896879;2.882680751;0.006999356;0.033485;0.913893362;0.227637572;0.631813553;0.631813553;0.342485094;0.250389379;2.93008786;0.005586915;0.033485
0.889900024;0.206748346;0.775906906;0.601637491;0.22948741;0.219109618;2.881677311;0.007638542;0.033186;0.918977706;0.22322964;0.634149196;0.634149196;0.378606092;0.275470854;2.928185759;0.005252303;0.033186
0.889776913;0.201639083;0.77769175;0.602083311;0.23067164;0.229244434;2.881571464;0.009219172;0.030945;0.919997344;0.212762596;0.635170659;0.635170659;0.393527123;0.294610792;2.925658597;0.005091051;0.030945
0.88739595;0.202936191;0.777629479;0.599817408;0.26061336;0.275378357;2.881953497;0.010156851;0.02749;0.912157581;0.216439912;0.630253118;0.630253118;0.413760733;0.331512859;2.923846928;0.004881593;0.02749
0.885918509;0.199158414;0.777302395;0.600705797;0.26535856;0.274255373;2.881477017;0.008228966;0.022133;0.91360871;0.212026604;0.630380974;0.630380974;0.433697266;0.346545539;2.922199991;0.003415177;0.022133
0.891148254;0.213423845;0.77991908;0.602771341;0.263614805;0.265515418;2.881073077;0.008311696;0.020209;0.918027493;0.199275624;0.632607447;0.632607447;0.440870023;0.330619974;2.922701355;0.004544229;0.020209
0.890992489;0.204693231;0.780428217;0.601824826;0.301535369;0.300969541;2.880565538;0.009384756;0.020567;0.918940307;0.204667276;0.631985083;0.631985083;0.472365592;0.375388451;2.920704604;0.005032061;0.020567
0.893957918;0.215669389;0.782061287;0.603837737;0.314896148;0.319969827;2.879892096;0.00774815;0.020057;0.916973155;0.187992298;0.630152137;0.630152137;0.507413275;0.397356925;2.922749209;0.004186779;0.020057
0.892132065;0.21587135;0.781669405;0.602180444;0.306549567;0.318948418;2.879766359;0.01026027;0.020277;0.918541263;0.186444214;0.626512496;0.626512496;0.502685162;0.389700174;2.920875952;0.008024886;0.020277
0.894028475;0.229307413;0.782383663;0.603881662;0.308714532;0.331574531;2.880079563;0.009815365;0.020518;0.91655696;0.205756368;0.625211331;0.625211331;0.503763634;0.408336402;2.921101288;0.007839752;0.020518
0.897464608;0.227404612;0.786512712;0.605333367;0.337118025;0.366667452;2.880565937;0.00898642;0.020535;0.915926678;0.200261449;0.624034153;0.624034153;0.533500241;0.442013089;2.919922667;0.008628651;0.020535
0.899152001;0.235847511;0.788862953;0.607039357;0.331073638;0.364354681;2.883594576;0.007412837;0.020567;0.915947274;0.16433575;0.622497168;0.622497168;0.54334778;0.434012062;2.915851739;0.006994645;0.020567
0.898270668;0.235734968;0.788196084;0.606505768;0.311417458;0.34804562;2.884028657;0.007329127;0.020623;0.916986809;0.185020362;0.620101714;0.620101714;0.533616342;0.438907218;2.918253104;0.005373436;0.020623
0.901121034;0.240620022;0.791210097;0.6095304;0.317687478;0.354717093;2.884288391;0.008090001;0.020941;0.918121824;0.189777873;0.617376252;0.617376252;0.533244388;0.436241185;2.920537274;0.007077199;0.020941
0.904151515;0.252325922;0.793769531;0.612729011;0.317507128;0.357811229;2.884033949;0.007234555;0.022757;0.92032473;0.219263461;0.618067587;0.618067587;0.528387258;0.448579587;2.923416405;0.007217488;0.022757
0.90738733;0.252586643;0.798116251;0.614572742;0.320222443;0.356971614;2.882886785;0.007680702;0.0252;0.922528965;0.211580341;0.618823472;0.618823472;0.549383899;0.466941284;2.925482264;0.007349173;0.0252
0.909354962;0.261756098;0.798201868;0.613280917;0.347299848;0.384396857;2.883339158;0.008227437;0.026977;0.929015284;0.231305619;0.619744848;0.619744848;0.574634957;0.497948373;2.929709522;0.007937515;0.026977
0.912453957;0.274671241;0.800263273;0.616715355;0.341875614;0.385399303;2.884671383;0.007296501;0.03041;0.932112127;0.240821841;0.623522983;0.623522983;0.598482799;0.513738157;2.932025815;0.006349221;0.03041
